,RMSE,MAE,R2,Best_Params
RandomForest,0.4380130637132457,0.3370516347499292,0.2513330709875561,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
GradientBoosting,0.41713297457307874,0.3194389702616999,0.321009704445975,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}"
ElasticNet,0.3305737104708662,0.27386041676493217,0.573566664531477,"{'alpha': 0.1, 'l1_ratio': 0.1}"
SVR,0.21694613544892305,0.18820918201681056,0.8163384019085201,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}"
